Feature,Family,ConsensusRank,ConsensusScore,BaseConsensusScore,GroupedStabilityFreq,GroupedPermutation,GWO_CandidateFreq,FamilyPriority,Methods_Selected_TopK,MeanRank,MI,MI_Rank,L1AbsCoef,L1AbsCoef_Rank,RFImportance,RFImportance_Rank,ExtraTreesImportance,ExtraTreesImportance_Rank,XGBImportance,XGBImportance_Rank,UnivariateSignal,UnivariateSignal_Rank
VEH_FEATURE_Speed_Group_高速_50,other,29,0.5290766613956954,0.9384526890997987,0.3333333333333333,0.0003359062632481054,0.5,0.25,4,143.66666666666666,0.024631733143622103,41.0,0.02281290529584169,560.0,0.0072988841335480835,25.0,0.012593718868540193,1.0,0.00814141146838665,15.0,0.32284948838106575,220.0
VEH_第一轴左侧轮胎胎面状态_TIREDA1L_1-未损坏,other,30,0.52719535639076,0.8684929536957148,0.0,0.02031256198661034,1.0,0.25,1,305.8333333333333,0.020604214476669158,101.0,0.0,692.0,0.0001869477715785957,556.0,0.0010864683834240238,223.0,0.0,252.0,0.33997109764934114,11.0
VEH_碰撞前平均制动减速度_BV,crash_type,31,0.5264437733678459,0.8536094334196146,0.3333333333333333,0.0,0.0,0.7,3,340.3333333333333,0.0029924913617156434,1121.0,0.12718418971189988,167.0,0.013685436709316674,17.0,0.005891886496313595,26.0,0.004913134500384331,51.0,0.11180860225154282,660.0
VEH_FEATURE_Speed_Group_低速_≤30,other,32,0.5252657474294047,0.8985475985044579,0.3333333333333333,0.003749829569784572,0.5,0.25,2,236.16666666666666,0.009321764757581175,576.0,0.10389791528137375,220.0,0.005201454622109574,34.0,0.009073242222901649,7.0,0.0,252.0,0.2666337850014203,328.0
事故现场道路环境_STFUHO_13-普通路段,road_env,33,0.5247758124820248,0.833189531205062,0.26666666666666666,0.0,0.0,0.85,3,387.6666666666667,0.0,1389.0,0.07606438883488616,308.0,0.004513115179762144,38.0,0.005989484910358902,25.0,0.004499848932027817,57.0,0.15838204324794875,509.0
VEH_碰撞角度_KWINK,crash_type,34,0.5235389703767616,0.8463474259419038,0.3333333333333333,0.0,0.0,0.7,3,357.1666666666667,0.007708895320830855,701.0,0.02687538903971445,535.0,0.016864239968518973,8.0,0.005029719014281077,41.0,0.004586034920066595,55.0,0.08359259936018894,803.0
FEATURE_Age_Group_青壮年_18-60,age,35,0.5228647148215729,0.8572044866264021,0.2,0.007580996881553022,0.0,0.7,3,332.0,0.010264710584477532,503.0,0.0,692.0,0.0039209123158569165,48.0,0.0054585503096989535,34.0,0.005206667818129063,43.0,0.11002171896633017,672.0
性别_GESCHL_4-女性,bio,36,0.5197648835202762,0.8181622088006902,0.3333333333333333,0.0,0.0,0.75,2,422.5,0.003899813784740136,1031.0,0.0,692.0,0.004416946460446717,39.0,0.006457073198942853,18.0,0.0,252.0,0.16320855966186484,503.0
VEH_车长_LAENGE,vehicle_size,37,0.5186367558239862,0.7965918895599655,0.3333333333333333,0.0,0.0,0.8,1,472.5,0.0,1389.0,0.15097385325615104,122.0,0.016970723196085325,7.0,0.0036029370514851847,79.0,0.0038684788160026073,87.0,0.05096824585976433,1151.0
道路类型_STRART_15-公路_四级公路,road_type,38,0.5170169686511361,0.8325424216278402,0.26666666666666666,0.0,0.0,0.8,2,389.1666666666667,0.0,1389.0,0.22675198447560696,51.0,0.0020625244021724885,102.0,0.003206514097747337,87.0,0.0045311483554542065,56.0,0.11438461197310125,650.0
VEH_车宽_BREITE,vehicle_size,39,0.5150129421915445,0.7875323554788611,0.3333333333333333,0.0,0.0,0.8,2,493.5,0.009381217389518914,574.0,0.0696498831272009,329.0,0.016165956308463007,11.0,0.004622222225622734,51.0,0.003424604656174779,121.0,0.03033050306669494,1875.0
VEH_碰撞时的总重_GEWGES,vehicle_mass,40,0.5142512490530984,0.8572763876905377,0.5333333333333333,0.0016409744588143742,0.0,0.25,2,331.8333333333333,0.002718494283574069,1143.0,0.21203347734412956,61.0,0.017772748889960333,5.0,0.004689341067012038,50.0,0.003575587412342429,103.0,0.11862035240562852,629.0
VEH_碰撞预警_COLLWARN1_9-未知,crash_type,41,0.5136453839516825,0.8216134598792061,0.3333333333333333,0.0,0.0,0.7,1,414.5,0.0029843478855289263,1122.0,0.4200067681386207,10.0,0.0010707762781115569,183.0,0.0022499347707201725,131.0,0.003481212304905057,116.0,0.06840230816736645,925.0
VEH_本次碰撞前是否制动_BRAKEBEF_1-未制动,crash_type,42,0.5109173865182076,0.8815070463042853,0.06666666666666667,0.0006502903559863863,0.5,0.7,1,275.6666666666667,0.012418331701826046,354.0,0.24649506270522384,38.0,0.0004766647148920905,312.0,0.0007954309865592491,282.0,0.0,252.0,0.1988871789447874,416.0
不同行驶方向车道的隔离方法_MARK_11-防撞栏,lane,43,0.5088851519506987,0.8800690250215703,0.2,0.0031909626348538924,0.0,0.65,1,279.0,0.00956373897647489,560.0,0.4073927260204757,13.0,0.0006552434655198959,255.0,0.001156682183711509,209.0,0.0022037418093532324,219.0,0.19733410583360111,418.0
体重_GEWP,bio,44,0.5081169111302848,0.7890422778257119,0.3333333333333333,0.0,0.0,0.75,1,490.0,0.0,1389.0,0.263956785042512,33.0,0.0020899439744244855,99.0,0.0012297410438560667,196.0,0.002538105705752969,196.0,0.0639254242806123,1027.0
先期疾病1_VORKR1_2-无,other,45,0.5071633164013823,0.9183922922059247,0.06666666666666667,0.004581370849393677,1.0,0.25,2,190.16666666666666,0.02219769392514448,72.0,0.0,692.0,0.0013919757765699938,160.0,0.001380501258454508,186.0,0.009569737128913403,10.0,0.332180397652851,21.0
沿道路方向的倾斜趋势_NEIGUNG_9-未知,other,46,0.5067848716636698,0.9194708081679609,0.3333333333333333,0.0060395711555706515,0.0,0.25,2,187.66666666666666,0.012638664705591829,341.0,0.4534736998120625,8.0,0.0006932096076208274,240.0,0.0014465381559276794,179.0,0.006627438124269247,25.0,0.25621198908969894,333.0
酒精作用_MEDALK_MISSING_OR_UNKNOWN,other,47,0.5019941123275367,0.8954558527466205,0.06666666666666667,0.005706701623438337,1.0,0.25,1,243.33333333333334,0.019078447129750487,132.0,0.0,692.0,0.0014344930071616988,154.0,0.001217154471855796,198.0,0.005233739037066698,42.0,0.31196176292759337,242.0
事故碰撞总次数_ACCICOLLINO_1-1,crash_type,48,0.5010240600462819,0.881866551624964,0.06666666666666667,0.007663743645590637,0.0,0.7,1,274.8333333333333,0.015575637202648984,234.0,0.0,692.0,0.0011271675287037768,175.0,0.0008227302866703498,270.0,0.004857767838984728,52.0,0.3216815731539662,226.0
