Candidate_Feature,Family,Missing_Category_Type,Semantic_Group,Source_Group,ConsensusRank,ConsensusScore,Selected,Excluded_As_Redundant,Excluded_As_Raw_Age_Column,Excluded_As_Pure_Missing_Unknown,Replaced_By,Reason
VEH_自动变道辅助_SPURWAE1_2-无,lane,not_missing_category,other_unique:VEH_自动变道辅助_SPURWAE1,VEH_自动变道辅助_SPURWAE1,87,0.4545123669830313,0,0,0,0,,
VEH_与护栏碰撞的事故类型_PLANKEK_0-不适用,crash_type,pure_missing_unknown,unknown_missing_category,VEH_与护栏碰撞的事故类型_PLANKEK,88,0.45370060396893874,0,0,0,1,,pure_missing_unknown_excluded
事故碰撞总次数_ACCICOLLINO_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,事故碰撞总次数_ACCICOLLINO_MISSING_OR,89,0.45168737417313776,0,0,0,1,,pure_missing_unknown_excluded
VEH_胎痕的分布_SPURZ_0-没有痕迹,lane,not_missing_category,other_unique:SPURZ,SPURZ,90,0.4513774805867127,0,0,0,0,,
VEH_夜间后视警告_RHILFNS1_MISSING_OR_UNKNOWN,light,pure_missing_unknown,unknown_missing_category,VEH_夜间后视警告_RHILFNS1_MISSING_OR,91,0.45122735116479723,0,0,0,1,,pure_missing_unknown_excluded
公路分类_STRKL_7-村道,road_type,not_missing_category,other_unique:STRKL,STRKL,92,0.4508012654587288,0,0,0,0,,
路灯类型_LAMPEN_4-成列的路灯,light,not_missing_category,lighting_visibility,路灯类型_LAMPEN,93,0.45056586137474836,0,0,0,0,,
道路类型_STRART_34-其他道路_村庄内部道路,road_type,not_missing_category,other_unique:STRART,STRART,94,0.4493632441760138,0,0,0,0,,
事故类型_UTYP_341-路口，具有等待义务的直行车辆（A）与来自左侧自行车道的自行车,lane,not_missing_category,crash_configuration_type,事故类型_UTYP,95,0.4471496980155306,0,0,0,0,,
云、雾_WOLK_6-阴,other,not_missing_category,weather_wind,云、雾_WOLK,96,0.4470369571469658,0,0,0,0,,
加速反应_REAKTGAS_2-未加速,other,not_missing_category,other_unique:加速反应_REAKTGAS,加速反应_REAKTGAS,97,0.4462844135910582,0,0,0,0,,
ARU事故原因4_URSWIS4_0-无,other,not_missing_category,other_unique:ARU事故原因4_URSWIS4,ARU事故原因4_URSWIS4,98,0.44596004364158237,0,0,0,0,,
VEH_酒精锁死系统_ALKOLOCK1_2-无,other,not_missing_category,other_unique:VEH_酒精锁死系统_ALKOLOCK1,VEH_酒精锁死系统_ALKOLOCK1,99,0.44594451731635604,0,0,0,0,,
路面附着系数_MUE,road_surface,not_missing_category,other_unique:MUE,MUE,100,0.44592234685073345,1,0,0,0,,mandatory_family_min:road_surface
年龄段_ALTERG_4-6至12岁儿童,age,not_missing_category,age_group,ALTERG,101,0.4452933563416739,0,1,0,0,FEATURE_Age_Over60,age_group_alias_replaced_by_semantic_age_over60_feature
VEH_夜视仪-安装位置_NIGHTWO1_MISSING_OR_UNKNOWN,light,pure_missing_unknown,unknown_missing_category,VEH_夜视仪-安装位置_NIGHTWO1_MISSING_OR,102,0.4451773080241587,0,0,0,1,,pure_missing_unknown_excluded
路面情况_STROB_3-干,road_surface,not_missing_category,road_surface,STROB,103,0.445117054932413,0,0,0,0,,
VEH_本次碰撞前是否制动_BRAKEBEF_2-制动,crash_type,not_missing_category,other_unique:VEH_本次碰撞前是否制动_BRAKEBEF,VEH_本次碰撞前是否制动_BRAKEBEF,104,0.44466062697727926,0,0,0,0,,
事故类型_UTYP_308-直行车辆与从右侧隔离带相向转入主路的车辆,crash_type,not_missing_category,crash_configuration_type,事故类型_UTYP,105,0.4436816220880069,0,0,0,0,,
道路类型_STRART_13-公路_二级公路,road_type,not_missing_category,other_unique:STRART,STRART,106,0.44335346563129135,0,0,0,0,,
云、雾_WOLK_4-少云（晴）,other,not_missing_category,weather_wind,云、雾_WOLK,107,0.4433092565556855,0,0,0,0,,
VEH_执行紧急任务的紧急车辆_BLICHT_0-不是紧急车辆，未安装警报灯,light,not_missing_category,lighting_visibility,BLICHT,108,0.44314567155593904,0,0,0,0,,
事故类型_UTYP_803-交叉口_-闯红灯直行与右方直行来车,road_env,not_missing_category,crash_configuration_type,事故类型_UTYP,109,0.44211029623238424,0,0,0,0,,
VEH_本次碰撞前是否转向_STEERING_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_本次碰撞前是否转向_STEERING_MISSING_OR,110,0.4416695427092321,0,0,0,1,,pure_missing_unknown_excluded
FEATURE_Age_Group_MISSING_OR_UNKNOWN,age,pure_missing_unknown,unknown_missing_category,FEATURE_Age_Group,111,0.4415832614322692,0,0,0,1,,pure_missing_unknown_excluded
事故现场道路环境_STFUHO_2-十字路口,other,not_missing_category,road_environment_type,STFUHO,112,0.440119852394617,0,0,0,0,,
道路类型_STRART_24-城市道路_支路,road_type,not_missing_category,other_unique:STRART,STRART,113,0.439959735404084,0,0,0,0,,
道路类型_STRART_14-公路_三级公路,road_type,not_missing_category,other_unique:STRART,STRART,114,0.43944204774230655,0,0,0,0,,
年龄段_ALTERG_8-41至50岁,age,not_missing_category,age_group,ALTERG,115,0.43890854184641936,0,1,0,0,FEATURE_Age_Over60,age_group_alias_replaced_by_semantic_age_over60_feature
VEH_挂车是否参与碰撞_TRAIMPCT_0-不适用,crash_type,pure_missing_unknown,unknown_missing_category,VEH_挂车是否参与碰撞_TRAIMPCT,116,0.43864969801553066,0,0,0,1,,pure_missing_unknown_excluded
VEH_夜间后视警告_RHILFNS1_2-无,light,not_missing_category,lighting_visibility,VEH_夜间后视警告_RHILFNS1,117,0.4379687949381651,0,0,0,0,,
交通控制_VKREG,other,not_missing_category,other_unique:交通控制_VKREG,交通控制_VKREG,118,0.43731593327581253,0,0,0,0,,
VEH_行人主动安全系统_FGSCHUTZ1_2-无,safety,not_missing_category,safety_assistance,VEH_行人主动安全系统_FGSCHUTZ1,119,0.43722749496692553,0,0,0,0,,
道路限速_ROADSPEED,other,not_missing_category,other_unique:道路限速_ROADSPEED,道路限速_ROADSPEED,120,0.43671196433707216,0,0,0,0,,
VEH_碰撞物体_KONOBJ_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_碰撞物体_KONOBJ_MISSING_OR,121,0.43640638481449523,0,0,0,1,,pure_missing_unknown_excluded
